district_label_bn,source_division,source_district,source_upazila,canonical_division,canonical_district,canonical_upazila,resolution_type,reason
পাবনা পোস্ট কোড,Rajshahi,Pabna,Sadar,Rajshahi,Pabna,Pabna Sadar,safe_candidate,unique_district_sadar
পাবনা পোস্ট কোড,Rajshahi,Pabna,Santhia,Rajshahi,Pabna,Santhia,exact,exact
পাবনা পোস্ট কোড,Rajshahi,Pabna,Sujanagar,Rajshahi,Pabna,Sujanagar,exact,exact
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Bhanderia,Barisal,Pirojpur,Bhandaria,safe_candidate,high_similarity:0.889;margin:0.333
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Mathbaria,Barisal,Pirojpur,Mathbaria,exact,exact
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Nazirpur,Barisal,Pirojpur,Nazirpur,exact,exact
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Sadar,Barisal,Pirojpur,Pirojpur Sadar,safe_candidate,unique_district_sadar
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Alfadanga,Dhaka,Faridpur,Alfadanga,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Bhanga,Dhaka,Faridpur,Bhanga,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Boalmari,Dhaka,Faridpur,Boalmari,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Char Bhadrasan,Dhaka,Faridpur,Charbhadrasan,normalized,normalized
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Madhukhali,Dhaka,Faridpur,Madhukhali,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Nagarkanda,Dhaka,Faridpur,Nagarkanda,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Sadar,Dhaka,Faridpur,Faridpur Sadar,safe_candidate,unique_district_sadar
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Sadarpur,Dhaka,Faridpur,Sadarpur,exact,exact
ফেণী পোস্ট কোড,Chattogram,Feni,Chhagal Naiya,Chattogram,Feni,Chhagalnaiya,normalized,normalized
ফেণী পোস্ট কোড,Chattogram,Feni,Dagon Bhuiyan,Chattogram,Feni,Daganbhuiyan,safe_candidate,high_similarity:0.917;margin:0.417
ফেণী পোস্ট কোড,Chattogram,Feni,Parshuram,Chattogram,Feni,Parshuram,exact,exact
ফেণী পোস্ট কোড,Chattogram,Feni,Sadar,Chattogram,Feni,Feni Sadar,safe_candidate,unique_district_sadar
ফেণী পোস্ট কোড,Chattogram,Feni,Sonagazi,Chattogram,Feni,Sonagazi,exact,exact
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Adam Dighi,Rajshahi,Bogura,Adamdighi,normalized,normalized
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Dupchachia,Rajshahi,Bogura,Dupchanchia,safe_candidate,high_similarity:0.952;margin:0.531
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Nandigram,Rajshahi,Bogura,Nondigram,safe_candidate,high_similarity:0.889;margin:0.445
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sadar,Rajshahi,Bogura,Bogra Sadar,safe_candidate,unique_district_sadar
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Saria Kandi,Rajshahi,Bogura,Shariakandi,safe_candidate,high_similarity:0.952;margin:0.476
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sherpur,Rajshahi,Bogura,Sherpur,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Amtali,Barisal,Barguna,Amtali,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Bamna,Barisal,Barguna,Bamna,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Betagi,Barisal,Barguna,Betagi,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Patharghata,Barisal,Barguna,Pathorghata,safe_candidate,high_similarity:0.909;margin:0.474
বরগুণা পোস্ট কোড,Barisal,Barguna,Sadar,Barisal,Barguna,Barguna Sadar,safe_candidate,unique_district_sadar
বরিশাল পোস্ট কোড,Barisal,Barisal,Agailjara,Barisal,Barisal,Agailjhara,safe_candidate,high_similarity:0.947;margin:0.315
বরিশাল পোস্ট কোড,Barisal,Barisal,Gour Nadi,Barisal,Barisal,Gournadi,normalized,normalized
বরিশাল পোস্ট কোড,Barisal,Barisal,Mehendigonj,Barisal,Barisal,Mehendiganj,safe_candidate,high_similarity:0.909;margin:0.509
বরিশাল পোস্ট কোড,Barisal,Barisal,Muladi,Barisal,Barisal,Muladi,exact,exact
বরিশাল পোস্ট কোড,Barisal,Barisal,Sadar,Barisal,Barisal,Barisal Sadar,safe_candidate,unique_district_sadar
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Chitalmari,Khulna,Bagerhat,Chitalmari,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Fakirhat,Khulna,Bagerhat,Fakirhat,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Kachua,Khulna,Bagerhat,Kachua,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Mollarhat,Khulna,Bagerhat,Mollahat,safe_candidate,high_similarity:0.941;margin:0.353
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Rampal,Khulna,Bagerhat,Rampal,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Sadar,Khulna,Bagerhat,Bagerhat Sadar,safe_candidate,unique_district_sadar
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Alikadam,Chattogram,Bandarban,Alikadam,exact,exact
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Lama,Chattogram,Bandarban,Lama,exact,exact
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Naikhangchari,Chattogram,Bandarban,Naikhongchhari,safe_candidate,high_similarity:0.889;margin:0.249
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Roangchari,Chattogram,Bandarban,Rowangchhari,safe_candidate,high_similarity:0.909;margin:0.242
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Ruma,Chattogram,Bandarban,Ruma,exact,exact
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Sadar,Chattogram,Bandarban,Bandarban Sadar,safe_candidate,unique_district_sadar
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Thanchi,Chattogram,Bandarban,Thanchi,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Akhaura,Chattogram,Brahmanbaria,Akhaura,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Bancharampur,Chattogram,Brahmanbaria,Bancharampur,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Nabinagar,Chattogram,Brahmanbaria,Nabinagar,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Nasirnagar,Chattogram,Brahmanbaria,Nasirnagar,exact,exact
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Sadar,Chattogram,Brahmanbaria,Brahmanbaria Sadar,safe_candidate,unique_district_sadar
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Sarail,Chattogram,Brahmanbaria,Sarail,exact,exact
ভোলা পোস্ট কোড,Barisal,Bhola,Burhanuddin,Barisal,Bhola,Borhan Uddin,safe_candidate,high_similarity:0.909;margin:0.338
ভোলা পোস্ট কোড,Barisal,Bhola,Charfessan,Barisal,Bhola,Charfesson,safe_candidate,high_similarity:0.900;margin:0.567
ভোলা পোস্ট কোড,Barisal,Bhola,Daulatkhan,Barisal,Bhola,Doulatkhan,safe_candidate,high_similarity:0.900;margin:0.344
ভোলা পোস্ট কোড,Barisal,Bhola,Hazirhat (Monpura),Barisal,Bhola,Monpura,parenthetical,parenthetical
ভোলা পোস্ট কোড,Barisal,Bhola,Lalmohan,Barisal,Bhola,Lalmohan,exact,exact
ভোলা পোস্ট কোড,Barisal,Bhola,Sadar,Barisal,Bhola,Bhola Sadar,safe_candidate,unique_district_sadar
মাগুড়া পোস্ট কোড,Khulna,Magura,Mohammadpur,Khulna,Magura,Mohammadpur,exact,exact
মাগুড়া পোস্ট কোড,Khulna,Magura,Sadar,Khulna,Magura,Magura Sadar,safe_candidate,unique_district_sadar
মাগুড়া পোস্ট কোড,Khulna,Magura,Sreepur,Khulna,Magura,Sreepur,exact,exact
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Barahamgonj (Shibchar),Dhaka,Madaripur,Shibchar,parenthetical,parenthetical
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Kalkini,Dhaka,Madaripur,Kalkini,exact,exact
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Sadar,Dhaka,Madaripur,Madaripur Sadar,safe_candidate,unique_district_sadar
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Daulatpur,Dhaka,Manikganj,Doulatpur,safe_candidate,high_similarity:0.889;margin:0.363
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Ghior,Dhaka,Manikganj,Gior,safe_candidate,high_similarity:0.889;margin:0.389
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Lesragonj (Harirampur),Dhaka,Manikganj,Harirampur,parenthetical,parenthetical
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Sadar,Dhaka,Manikganj,Manikganj Sadar,safe_candidate,unique_district_sadar
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Saturia,Dhaka,Manikganj,Saturia,exact,exact
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Sadar,Dhaka,Munshiganj,Munshiganj Sadar,safe_candidate,unique_district_sadar
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Serajdi Khan,Dhaka,Munshiganj,Sirajdikhan,safe_candidate,high_similarity:0.909;margin:0.465
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Sreenagar,Dhaka,Munshiganj,Sreenagar,exact,exact
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Tongibari,Dhaka,Munshiganj,Tongibari,exact,exact
মেহেরপুর পোস্ট কোড,Khulna,Meherpur,Gangni,Khulna,Meherpur,Gangni,exact,exact
মেহেরপুর পোস্ট কোড,Khulna,Meherpur,Sadar,Khulna,Meherpur,Meherpur Sadar,safe_candidate,unique_district_sadar
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Barlekha,Sylhet,Moulvibazar,Barlekha,exact,exact
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Kulaura,Sylhet,Moulvibazar,Kulaura,exact,exact
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Raj Nagar,Sylhet,Moulvibazar,Rajnagar,normalized,normalized
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Sadar,Sylhet,Moulvibazar,Moulvibazar Sadar,safe_candidate,unique_district_sadar
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Sreemangal,Sylhet,Moulvibazar,Sreemangal,exact,exact
যশোর পোস্ট কোড,Khulna,Jashore,Jhekargacha,Khulna,Jashore,Jhikargacha,safe_candidate,high_similarity:0.909;margin:0.338
যশোর পোস্ট কোড,Khulna,Jashore,Keshabpur,Khulna,Jashore,Keshabpur,exact,exact
যশোর পোস্ট কোড,Khulna,Jashore,Monirampur,Khulna,Jashore,Manirampur,safe_candidate,high_similarity:0.900;margin:0.479
যশোর পোস্ট কোড,Khulna,Jashore,Sadar,Khulna,Jashore,Jashore Sadar,safe_candidate,unique_district_sadar
যশোর পোস্ট কোড,Khulna,Jashore,Sarsha,Khulna,Jashore,Sharsha,safe_candidate,high_similarity:0.923;margin:0.452
রংপুর পোস্ট কোড,Rangpur,Rangpur,Badargonj,Rangpur,Rangpur,Badargonj,exact,exact
রংপুর পোস্ট কোড,Rangpur,Rangpur,Ganga Chara,Rangpur,Rangpur,Gangachara,normalized,normalized
রংপুর পোস্ট কোড,Rangpur,Rangpur,Mithapukur,Rangpur,Rangpur,Mithapukur,exact,exact
রংপুর পোস্ট কোড,Rangpur,Rangpur,Pirgarcha,Rangpur,Rangpur,Pirgacha,safe_candidate,high_similarity:0.941;margin:0.353
রংপুর পোস্ট কোড,Rangpur,Rangpur,Pirgonj,Rangpur,Rangpur,Pirgonj,exact,exact
রংপুর পোস্ট কোড,Rangpur,Rangpur,Sadar,Rangpur,Rangpur,Rangpur Sadar,safe_candidate,unique_district_sadar
রংপুর পোস্ট কোড,Rangpur,Rangpur,Taragonj,Rangpur,Rangpur,Taragonj,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Barkal,Chattogram,Rangamati,Barkal,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Belaichari,Chattogram,Rangamati,Belaichari,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Kaptai,Chattogram,Rangamati,Kaptai,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Naniarchar,Chattogram,Rangamati,Naniarchar,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Rajasthali,Chattogram,Rangamati,Rajasthali,exact,exact
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Sadar,Chattogram,Rangamati,Rangamati Sadar,safe_candidate,unique_district_sadar
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Baliakandi,Dhaka,Rajbari,Baliakandi,exact,exact
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Pangsha,Dhaka,Rajbari,Pangsa,safe_candidate,high_similarity:0.923;margin:0.523
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Sadar,Dhaka,Rajbari,Rajbari Sadar,safe_candidate,unique_district_sadar
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Baga,Rajshahi,Rajshahi,Bagha,safe_candidate,high_similarity:0.889;margin:0.162
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Bhabanigonj (Bagmara),Rajshahi,Rajshahi,Bagmara,parenthetical,parenthetical
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Carghat,Rajshahi,Rajshahi,Charghat,safe_candidate,high_similarity:0.933;margin:0.266
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Durgapur,Rajshahi,Rajshahi,Durgapur,exact,exact
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Godagari,Rajshahi,Rajshahi,Godagari,exact,exact
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Puthia,Rajshahi,Rajshahi,Puthia,exact,exact
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Sadar,Rajshahi,Rajshahi,Rajshahi Sadar,safe_candidate,unique_district_sadar
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Tanore,Rajshahi,Rajshahi,Tanore,exact,exact
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur,Sadar,Chattogram,Lakshmipur,Lakshmipur Sadar,safe_candidate,unique_district_sadar
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Aditmari,Rangpur,Lalmonirhat,Aditmari,exact,exact
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Hatibanda,Rangpur,Lalmonirhat,Hatibandha,safe_candidate,high_similarity:0.947;margin:0.467
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Patgram,Rangpur,Lalmonirhat,Patgram,exact,exact
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Sadar,Rangpur,Lalmonirhat,Lalmonirhat Sadar,safe_candidate,unique_district_sadar
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Gosairhat,Dhaka,Shariatpur,Gosairhat,exact,exact
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Naria,Dhaka,Shariatpur,Naria,exact,exact
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Sadar,Dhaka,Shariatpur,Shariatpur Sadar,safe_candidate,unique_district_sadar
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Jenaigati,Mymensingh,Sherpur,Jhenaigati,safe_candidate,high_similarity:0.947;margin:0.421
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Nalitabari,Mymensingh,Sherpur,Nalitabari,exact,exact
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,Sreebardi,Mymensingh,Sherpur,Sreebordi,safe_candidate,high_similarity:0.889;margin:0.468
শেরপুর পোস্ট কোড,Mymensingh,Sherpur,sadar,Mymensingh,Sherpur,Sherpur Sadar,safe_candidate,unique_district_sadar
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Debhata,Khulna,Satkhira,Debhata,exact,exact
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Nakipur (Shyamnagar),Khulna,Satkhira,Shyamnagar,parenthetical,parenthetical
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Sadar,Khulna,Satkhira,Satkhira Sadar,safe_candidate,unique_district_sadar
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Tala,Khulna,Satkhira,Tala,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Baidya Jamtoil (Kamarkhand),Rajshahi,Sirajganj,Kamarkhand,parenthetical,parenthetical
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Belkuchi,Rajshahi,Sirajganj,Belkuchi,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Kazipur,Rajshahi,Sirajganj,Kazipur,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Sadar,Rajshahi,Sirajganj,Sirajganj Sadar,safe_candidate,unique_district_sadar
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Shahjadpur,Rajshahi,Sirajganj,Shahjadpur,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Tarash,Rajshahi,Sirajganj,Tarash,exact,exact
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj,Ullahpara,Rajshahi,Sirajganj,Ullapara,safe_candidate,high_similarity:0.941;margin:0.520
সিলেট পোস্ট কোড,Sylhet,Sylhet,Beani Bazar,Sylhet,Sylhet,Beanibazar,normalized,normalized
সিলেট পোস্ট কোড,Sylhet,Sylhet,Bishwa Nath,Sylhet,Sylhet,Bishwanath,normalized,normalized
সিলেট পোস্ট কোড,Sylhet,Sylhet,Fenchugonj,Sylhet,Sylhet,Fenchuganj,safe_candidate,high_similarity:0.900;margin:0.479
সিলেট পোস্ট কোড,Sylhet,Sylhet,Goainghat,Sylhet,Sylhet,Gowainghat,safe_candidate,high_similarity:0.947;margin:0.280
সিলেট পোস্ট কোড,Sylhet,Sylhet,Golapgonj,Sylhet,Sylhet,Golapganj,safe_candidate,high_similarity:0.889;margin:0.301
সিলেট পোস্ট কোড,Sylhet,Sylhet,Jaintapur,Sylhet,Sylhet,Jaintiapur,safe_candidate,high_similarity:0.947;margin:0.447
সিলেট পোস্ট কোড,Sylhet,Sylhet,Kanaighat,Sylhet,Sylhet,Kanaighat,exact,exact
সিলেট পোস্ট কোড,Sylhet,Sylhet,Sadar,Sylhet,Sylhet,Sylhet Sadar,safe_candidate,unique_district_sadar
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Biswambarpur,Sylhet,Sunamganj,Bishwambarpur,safe_candidate,high_similarity:0.960;margin:0.460
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Chatak,Sylhet,Sunamganj,Chhatak,safe_candidate,high_similarity:0.923;margin:0.423
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Sadar,Sylhet,Sunamganj,Sunamganj Sadar,safe_candidate,unique_district_sadar
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Tahirpur,Sylhet,Sunamganj,Tahirpur,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Bahubal,Sylhet,Habiganj,Bahubal,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Baniachong,Sylhet,Habiganj,Baniachong,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Chunaraghat,Sylhet,Habiganj,Chunarughat,safe_candidate,high_similarity:0.909;margin:0.474
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Madhabpur,Sylhet,Habiganj,Madhabpur,exact,exact
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Sadar,Sylhet,Habiganj,Habiganj Sadar,safe_candidate,unique_district_sadar
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Bonarpara (Saghate),Rangpur,Gaibandha,Saghata,second_pass_audited,parenthetical_high_confidence
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Gazipur,Dhaka,Gazipur,Gazipur Sadar,second_pass_audited,district_name_to_unique_sadar
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Kaligonj,Dhaka,Gazipur,Kaliganj,second_pass_audited,normalized_alias
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Jaldi (Bashkhali),Chattogram,Chattogram,Banshkhali,second_pass_audited,parenthetical_high_confidence
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Hajigonj,Chattogram,Chandpur,Hajiganj,second_pass_audited,normalized_alias
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Shibgonj,Rajshahi,Chapainawabganj,Shibganj,second_pass_audited,normalized_alias
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Naldanga (Kaligonj),Khulna,Jhenaidah,Kaliganj,second_pass_audited,parenthetical_high_confidence
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Pirgonj,Rangpur,Thakurgaon,Pirganj,second_pass_audited,normalized_alias
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Birgonj,Rangpur,Dinajpur,Birganj,second_pass_audited,normalized_alias
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Maharajgonj (Kaharul),Rangpur,Dinajpur,Kaharol,second_pass_audited,parenthetical_high_confidence
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Rupgonj,Dhaka,Narayanganj,Rupganj,second_pass_audited,normalized_alias
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Siddirgonj,Dhaka,Narayanganj,Siddhirganj,second_pass_audited,second_pass_similarity:0.952;margin:0.364
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Kishoregonj,Rangpur,Nilphamari,Kishorganj,second_pass_audited,second_pass_similarity:0.952;margin:0.702
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Bashurhat (Companigonj),Chattogram,Noakhali,Companiganj,second_pass_audited,parenthetical_high_confidence
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Chotodab (Atwar),Rangpur,Panchagarh,Atwari,second_pass_audited,parenthetical_high_confidence
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Debigonj,Rangpur,Panchagarh,Debiganj,second_pass_audited,normalized_alias
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Subidhakhali (Mirzagonj),Barisal,Patuakhali,Mirzaganj,second_pass_audited,parenthetical_high_confidence
পাবনা পোস্ট কোড,Rajshahi,Pabna,Ban Wari Nagar (Farifpur),Rajshahi,Pabna,Faridpur,second_pass_audited,parenthetical_high_confidence
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Shibgonj,Rajshahi,Bogura,Shibganj,second_pass_audited,normalized_alias
বরিশাল পোস্ট কোড,Barisal,Barisal,Babugonj,Barisal,Barisal,Babuganj,second_pass_audited,normalized_alias
বরিশাল পোস্ট কোড,Barisal,Barisal,Sahebgonj (Bakhergonj),Barisal,Barisal,Bakerganj,second_pass_audited,parenthetical_high_confidence
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Morelgonj,Khulna,Bagerhat,Morrelganj,second_pass_audited,second_pass_similarity:0.947;margin:0.414
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Rayenda (Sharankhola),Khulna,Bagerhat,Sarankhola,second_pass_audited,parenthetical_high_confidence
ভোলা পোস্ট কোড,Barisal,Bhola,Hat Shasigonj (Tazimuddin),Barisal,Bhola,Tazumuddin,second_pass_audited,parenthetical_high_confidence
মাগুড়া পোস্ট কোড,Khulna,Magura,Arpara (Salikha),Khulna,Magura,Shalikha,second_pass_audited,parenthetical_high_confidence
যশোর পোস্ট কোড,Khulna,Jashore,Noapara (Avay Nagar),Khulna,Jashore,Abhaynagar,second_pass_audited,parenthetical_high_confidence
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Kalampati (Kaokhali),Chattogram,Rangamati,Kawkhali,second_pass_audited,parenthetical_high_confidence
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Khodemohanpur(Mohanpur),Rajshahi,Rajshahi,Mohonpur,second_pass_audited,parenthetical_high_confidence
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur,Ramgonj,Chattogram,Lakshmipur,Ramganj,second_pass_audited,normalized_alias
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Bhedergonj,Dhaka,Shariatpur,Bhedarganj,second_pass_audited,second_pass_similarity:0.900;margin:0.633
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira,Kaligonj,Khulna,Satkhira,Kaliganj,second_pass_audited,normalized_alias
সিলেট পোস্ট কোড,Sylhet,Sylhet,Balagonj,Sylhet,Sylhet,Balaganj,second_pass_audited,normalized_alias
সিলেট পোস্ট কোড,Sylhet,Sylhet,Companigonj Nutun Bazar (Companigonj),Sylhet,Sylhet,Companiganj,second_pass_audited,parenthetical_high_confidence
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Ghunghiargaon (Sallah),Sylhet,Sunamganj,Shalla,second_pass_audited,parenthetical_high_confidence
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj,Sanchana (Jamalgonj),Sylhet,Sunamganj,Jamalganj,second_pass_audited,parenthetical_high_confidence
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Azmirigonj,Sylhet,Habiganj,Ajmiriganj,second_pass_audited,second_pass_similarity:0.900;margin:0.233
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj,Nabigonj,Sylhet,Habiganj,Nabiganj,second_pass_audited,normalized_alias
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Rajibpur,Rangpur,Kurigram,Charrajibpur,explicit_manual_alias,explicit_manual_alias
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Roumari,Rangpur,Kurigram,Rowmari,explicit_manual_alias,explicit_manual_alias
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Lakshmi Chari,Chattogram,Khagrachhari,Laxmichhari,explicit_manual_alias,explicit_manual_alias
খুলনা পোস্ট কোড,Khulna,Khulna,Batiaghat,Khulna,Khulna,Botiaghata,explicit_manual_alias,explicit_manual_alias
খুলনা পোস্ট কোড,Khulna,Khulna,Digalia,Khulna,Khulna,Digholia,explicit_manual_alias,explicit_manual_alias
খুলনা পোস্ট কোড,Khulna,Khulna,Fultala,Khulna,Khulna,Fultola,explicit_manual_alias,explicit_manual_alias
খুলনা পোস্ট কোড,Khulna,Khulna,Palkgacha,Khulna,Khulna,Paikgasa,explicit_manual_alias,explicit_manual_alias
